id,publicId,title,description,date,link,videoTypeId
543045,470244-1,Joe Biden Campaign Event in Philadelphia,"Joe Biden, a 2020 Democratic presidential candidate, spoke to campaign staff from the National Constitution Center in Philadelphia after winning the Michigan, Mississippi, and Missouri primaries. The former vice president spoke optimistically about the evening&rsquo;s results, saying, &ldquo;And although there&rsquo;s a way to go, looks like we are going to have another good night.&rdquo; He later thanked Senator Bernie Sanders (I-VT), a fellow Democratic presidential candidate, and his supporters &ldquo;for their tireless energy and their passion.&rdquo;",2020-03-10,https://www.c-span.org/video/?470244-1/joe-biden-campaign-event-philadelphia,Speech
543057,470250-1,Joe Biden on Coronavirus Outbreak,"Joe Biden, a 2020 Democratic presidential candidate spoke in Wilmington, Deleware, about the coronavirus (COVID-19) outbreak. The former vice president introduced his coronavirus pandemic response plan and highlighted many of its details. He emphasized the importance of placing public health officials in charge of the response and leading with science. He later added that President Trump was welcome to adopt his plan.",2020-03-12,https://www.c-span.org/video/?470250-1/joe-biden-coronavirus-outbreak,Speech
543437,470455-1,Joe Biden Primary Night Remarks,"Joe Biden, a 2020 Democratic presidential candidate, made remarks after Florida and Illinois primary elections had ended and were about to end in Arizona. He thanked his supporters and workers and volunteers who kept polls open despite national concern over the growing coronavirus (COVID-19) pandemic affecting the U.S. The former vice president also spoke to supporters of his primary opponent, Senator Bernie Sanders (I-VT), with whom he said he shared common political goals in areas of health care, economic inequality and climate change. The remarks were delivered via streaming video from Mr. Biden&rsquo;s home in Wilmington, Delaware. At the video&rsquo;s conclusion, his wife Jill Biden briefly appeared with Mr. Biden.",2020-03-17,https://www.c-span.org/video/?470455-1/joe-biden-primary-night-remarks,Speech
543729,470609-1,Joe Biden Remarks on Coronavirus Response,"Joe Biden, a 2020 Democratic presidential candidate, delivered remarks on the national response to the coronavirus (COVID-19) pandemic from his home in Wilmington, Delaware. The former vice president criticized Republican lawmakers on Capitol Hill for legislation they had put forth to address economic repercussions from the pandemic, saying it was too focused on corporations and not individual citizens affected by the outbreak. He also praised millions of workers, including those working to keep essential businesses such as grocery stores open, for their efforts to keep Americans safe and supplied.",2020-03-23,https://www.c-span.org/video/?470609-1/joe-biden-remarks-coronavirus-response,Speech
546691,472279-1,Joe Biden Remarks at AAPI Victory Fund Progressive Summit,"Former Vice President Joe Biden, the presumptive 2020 Democratic presidential nominee, delivered remarks from his home in Wilmington, Delaware, to the AAPI Victory Fund&rsquo;s 2020 Progressive Summit. The summit, being held virtually due to the coronavirus pandemic, was focused on the organization of Asian American and Pacific Islander voters; AAPI Victory Fund had endorsed Mr. Biden&rsquo;s campaign in January 2020. Mr. Biden criticized President Trump&rsquo;s handling of the pandemic, saying he should &ldquo;stop tweeting about&rdquo; helping affected small businesses and expedite aid to affected enterprises.",2020-05-18,https://www.c-span.org/video/?472279-1/joe-biden-remarks-aapi-victory-fund-progressive-summit,Speech
547273,472606-1,Joe Biden Remarks on Events in Minnesota,"2020 Democratic presidential candidate Joe Biden delivered remarks from his home in Wilmington, Delaware on the death of George Floyd, an African American man killed by a Minneapolis police officer while in custody. The former vice president said Americans needed to confront institutional racism, particularly in law enforcement. He said doing so was the duty of all Americans. Mr. Biden&rsquo;s remarks came after he had spoken with George Floyd&rsquo;s family, and less than an hour before the officer who killed Mr. Floyd was taken into custody to face third-degree murder charges.",2020-05-29,https://www.c-span.org/video/?472606-1/joe-biden-remarks-events-minnesota,Speech
547396,472687-1,Joe Biden Delivers Remarks on Protests,"Former vice president Joe Biden, the 2020 presumptive Democratic presidential nominee, delivered remarks at Philadelphia&rsquo;s City Hall on the civil unrest in reaction to George Floyd&rsquo;s death while in custody of Minneapolis police. Mr. Biden said the protests were the result of years of systematic racism in the U.S. which needed to be addressed. He also called on those destroying property to cease, saying such destruction was distracting from the central goals of the protesters. During his remarks, Mr. Biden also critiqued President Trump&rsquo;s handling of the protests in the nation&rsquo;s capital, and called on Congress to immediately start acting on ways to address racial inequities in law enforcement.",2020-06-02,https://www.c-span.org/video/?472687-1/joe-biden-delivers-remarks-protests,Speech
547631,472817-1,Joe Biden Remarks on the Economy at Delaware State University,"2020 Democratic presidential candidate Joe Biden delivered remarks on the U.S. economy at Delaware State University, a historically black institution, in the state capital of Dover. He talked about the need to restart the economy with a public health plan that addressed the ongoing needs of the coronavirus pandemic, including big increases in efforts to test and trace those who might have COVID-19. He also responded to President Trump&rsquo;s remarks on the economy and George Floyd earlier in the day, saying the remarks by the president that Mr. Floyd would be happy with the May jobs numbers was &ldquo;despicable.&rdquo;",2020-06-05,https://www.c-span.org/video/?472817-1/joe-biden-remarks-economy-delaware-state-university,Speech
548222,473161-1,"Joe Biden Speaks in Darby, Pennsylvania","Joe Biden, the 2020 presumptive Democratic presidential nominee, delivered remarks on reopening the nation&rsquo;s economy amid the coronavirus pandemic in Darby, Pennsylvania, a suburb of Philadelphia. During his remarks, the former vice president called on President Trump and Congress to extend support for businesses and workers affected by the pandemic, and to continue expanding access to testing and contact tracing as restrictions on businesses continued to lift around the country. Mr. Biden&rsquo;s remarks came after he met with small business owners elsewhere in southeast Pennsylvania earlier in the afternoon.",2020-06-17,https://www.c-span.org/video/?473161-1/joe-biden-speaks-darby-pennsylvania,Speech
548819,473396-4,Joe Biden Roundtable on Health Care,"Former Vice President Joe Biden, the 2020 presumptive Democratic presidential nominee, spoke in Lancaster, Pennsylvania, about the Affordable Care Act and his plan to make it available to every American.",2020-06-25,https://www.c-span.org/video/?473396-4/joe-biden-roundtable-health-care,Speech
548652,473396-1,Joe Biden Remarks on Health Care,"Former Vice President Joe Biden, the presumptive 2020 Democratic presidential nominee, spoke in Lancaster, Pennsylvania about the Affordable Care Act and his plan to make it available to every American. He expressed his concern that if President Trump has his way, complications from COVID-19 could become a new pre-existing condition, thus leaving American families without health care protection. He also told the audience that testing saves lives and widespread testing is the key to opening the economy again. Mr. Biden did not take any audience questions.",2020-06-25,https://www.c-span.org/video/?473396-1/joe-biden-remarks-health-care,Speech
548741,473396-3,Conversation with Joe Biden on Health Care,"Former Vice President and 2020 Democratic presidential candidate Joe Biden met with families in Lancaster, Pennsylvania, to discuss health care and the Affordable Care Act. Due to technical difficulties, this portion of the event is 20-minutes.",2020-06-25,https://www.c-span.org/video/?473396-3/conversation-joe-biden-health-care,Speech
548883,473520-1,Joe Biden on COVID-19 and the Economy,"Joe Biden, the presumptive 2020 Democratic presidential nominee, delivered remarks in Wilmington, Delaware, on COVID-19 and reopening the nation&rsquo;s economy. In addition to criticizing President Trump&rsquo;s response to the spread of the coronavirus that causes COVID-19, Mr. Biden announced the release of an updated five-point plan aimed at safely reopening businesses while preventing spread of the disease. Following his remarks, he answered a number of questions from reporters on a variety of topics, including foreign policy and the removal of Confederate-era statues and monuments throughout the U.S. During the question-and-answer session, Mr. Biden said he was &ldquo;looking forward&rdquo; to facing President Trump in debates.",2020-06-30,https://www.c-span.org/video/?473520-1/joe-biden-covid-19-economy,Speech
548556,473347-1,Joe Biden at National Education Association Virtual Assembly,"Former Vice President and presumptive 2020 Democratic presidential nominee Joe Biden addressed the virtual assembly of the National Education Association. He asked union members for their support in the upcoming presidential election, and laid out his plan for boosting federal support for public schools and the teachers and other workers who staff them in the midst of the coronavirus pandemic. In addition to his remarks, Mr. Biden also answered questions from two teachers and one school paraprofessional, all members of the association.",2020-07-03,https://www.c-span.org/video/?473347-1/joe-biden-national-education-association-virtual-assembly,Speech
549183,473701-1,"Joe Biden Speaks in Dunmore, Pennsylvania","During remarks in Dunmore, Pennsylvania, Joe Biden, the presumptive 2020 Democratic presidential nominee, said President Trump had &ldquo;given up&rdquo; on the coronavirus pandemic, adding that the president&rsquo;s &ldquo;failures come with terrible human cost and deep economic toll.&rdquo; The former vice president also unveiled his new campaign slogan, &ldquo;Build Back Better,&rdquo; and his &ldquo;Buy American&rdquo; plan to reinvest and revive the economy.",2020-07-09,https://www.c-span.org/video/?473701-1/joe-biden-speaks-dunmore-pennsylvania,Speech
549419,473845-1,"Joe Biden Remarks on Energy Policy in Wilmington, Delaware","Joe Biden, the 2020 presumptive Democratic presidential nominee, delivered remarks on clean energy and infrastructure development in Wilmington, Delaware. His remarks were part of a series of appearances laying out his plan to safely reopen the U.S. economy amid the ongoing coronavirus pandemic. Mr. Biden said the pandemic presented an opportunity to rebuild and expand the nation&rsquo;s infrastructure with a focus on sustainability. He did not take questions from reporters after his remarks.",2020-07-14,https://www.c-span.org/video/?473845-1/joe-biden-remarks-energy-policy-wilmington-delaware,Speech
549843,474018-1,Joe Biden Remarks on Economic Recovery,"Joe Biden, the presumptive 2020 Democratic presidential candidate, delivered remarks in New Castle, Deleware, on his plan to help the economy recover from the coronavirus pandemic. His remarks focused on the role of caregivers of children and the elderly in the economic recovery. The former vice president specifically laid out his plan to boost federal spending for caregiver services, including child care to help workers with competing professional and family obligations. He did not answer questions from journalists after the event.",2020-07-21,https://www.c-span.org/video/?474018-1/joe-biden-remarks-economic-recovery,Speech
550224,474269-1,"Joe Biden Remarks in Wilmington, Delaware on the Economy","Joe Biden, the presumptive 2020 Democratic presidential nominee, delivered remarks on his &ldquo;Build Back Better&rdquo; plan on advanced racial equity in America&rsquo;s economy, including the role of the Federal Reserve and the need to consider representation internally. Mr. Biden talked about his commitment to fight systemic racism through his economic plan. Also, he answered questions from reporters including the timing on naming his vice presidential nominee and the reopening of schools and sports during the coronavirus pandemic.",2020-07-28,https://www.c-span.org/video/?474269-1/joe-biden-remarks-wilmington-delaware-economy,Speech
550868,474519-101,Joe Biden at NALEO Virtual Conference,"Former Vice President Joe Biden, the presumptive 2020 Democratic presidential nominee, delivered remarks at the 37th annual conference of the National Association of Latino Elected and Appointed Officials (NALEO). In his remarks, Mr. Biden commented on diversity in minority communities. Later in the day, President Trump criticized Mr. Biden for these and other remarks. The former vice president later clarified, saying on social media, &ldquo;In no way did I mean to suggest the African American community is a monolith.&rdquo;",2020-08-06,https://www.c-span.org/video/?474519-101/joe-biden-naleo-virtual-conference,Speech
551059,474731-1,Joe Biden Introduction of Senator Kamala Harris as Running Mate,"Joe Biden, the presumptive 2020 Democratic presidential nominee, formally introduced Senator Kamala Harris (D-CA) as his vice presidential running mate. During his remarks, the former vice president talked about why he selected Senator Harris and how she complements him as a running mate. Later on, Senator Harris thanked Mr. Biden for selecting her and talked about her relationship with Beau Biden, Joe Biden&rsquo;s son who died from cancer in 2015. &ldquo;Joe and I are cut from the same cloth,&rdquo; she said. Following their remarks, the candidates' spouses, Jill Biden and Doug Emhoff, briefly greeted them before leaving the high school gymnasium that served as the venue for the event. Due to the coronavirus pandemic, only reporters and the candidates' families were allowed inside the venue.",2020-08-12,https://www.c-span.org/video/?474731-1/joe-biden-introduction-senator-kamala-harris-running-mate,Speech
552213,475311-1,Joe Biden Delivers Remarks on Public Safety and Law Enforcement,"2020 Democratic presidential nominee Joe Biden delivered remarks on public safety and law enforcement during a campaign stop in Pittsburgh, Pennsylvania. He condemned the rioting and looting taking place around the country and blamed President Trump for the increase in violence. The former vice president not take any questions from reporters.",2020-08-31,https://www.c-span.org/video/?475311-1/joe-biden-delivers-remarks-public-safety-law-enforcement,Speech
552294,475377-1,Joe Biden Remarks on Reopening Schools During COVID-19,"2020 Democratic presidential nominee Joe Biden delivered remarks in Wilmington, Delaware, on reopening schools amid the coronavirus pandemic. He called the issue of students being able to go back to school safely a national emergency and called on President Trump to provide emergency funding for the situation. The former vice president also took several questions from reporters.",2020-09-02,https://www.c-span.org/video/?475377-1/joe-biden-remarks-reopening-schools-covid-19,Speech
552333,475401-1,"Joe Biden Delivers Remarks in Kenosha, Wisconsin","2020 Democratic presidential nominee Joe Biden and his wife, Jill, visited Kenosha, Wisconsin, where Jacob Blake, an unarmed Black man, was shot by police in August. They gathered with community officials and activists at the Grace Lutheran Church in Kenosha, where Mr. Biden listened to a variety of people from the community talk about their concerns regarding systemic racism, policing policy, and concerns of residents and business owners in the wake of more than a week of protests that followed the shooting of Mr. Blake. The Bidens' visit to Wisconsin included a private meeting with Mr. Blake&rsquo;s family, which was held before the community event at the Kenosha church.",2020-09-03,https://www.c-span.org/video/?475401-1/joe-biden-delivers-remarks-kenosha-wisconsin,Speech
552381,475440-1,Joe Biden Remarks on the August 2020 Jobs Report,"2020 Democratic presidential nominee Joe Biden delivered remarks in Wilmington, Delaware, on the August jobs report released by the Labor Department. The former vice president began his remarks by addressing an article in <i>The Atlantic</i> Magazine alleging that President Trump made disparaging comments about fallen service members. &ldquo;It is absolutely damnable. It is a disgrace,&rdquo; he said, adding that he had never been more disappointed in a leader and was trying to control his temper. Mr. Biden also took several questions from reporters.",2020-09-04,https://www.c-span.org/video/?475440-1/joe-biden-remarks-august-2020-jobs-report,Speech
552481,475502-1,Vice Presidential Nominee Kamala Harris Campaign Event in Milwaukee,"Senator Kamala Harris (D-CA), the 2020 Democratic vice presidential nominee, took part in a Labor Day roundtable discussion with Black business owners. She talked about how a Democratic administration would approach economic opportunity and racial unrest.",2020-09-07,https://www.c-span.org/video/?475502-1/vice-presidential-nominee-kamala-harris-campaign-event-milwaukee,Speech
